Fecha de la Medida,Hora de la Medida,V12_Avg [V],V23_Avg [V],V31_Avg [V],I1_Avg [A],I2_Avg [A],I3_Avg [A],Pt+_Avg [W],Qti+_Avg [VAR],St+_Avg [VA],freq_Avg [Hz],P12+_Avg [W],S12+_Avg [VA],P12/S12 (FP12),P32+_Avg [W],S32+_Avg [VA],P32/S32 (FP32),thdV12_Avg [%],thdV23_Avg [%],thdV31_Avg [%],thdI1_Avg [%],thdI2_Avg [%],thdI3_Avg [%],Eat+_Avg [Wh],COMSUMO CALCULADO,,PD,,DBV1,DBV2,DBV3,DBI1,DBI2,DBI3,FPT,,PST1,PST2,PST3
14/01/2013,4:05:00 p. m.,426.8,427.2,425,2.934,3.586,1.749,1634,475.1,1701,60,962.1,1252,0.768450479,672,747.2,0.899357602,1.751,1.826,1.796,13.48,21.62,27.01,22411.17,27.23,,8299.00,,0.109460516,0.203283815,0.312744332,6.445761277,30.10037489,36.54613617,0.960611405,,0.2,0,0
14/01/2013,4:10:00 p. m.,426.1,426.7,424.3,2.776,3.462,1.609,1514,459.2,1582,59.99,900.8,1183,0.761453931,613.8,686.6,0.893970288,1.781,1.837,1.822,14.19,22.46,29.72,22537.33,25.23,,8418.00,,0.093962885,0.234907212,0.328870096,6.129731107,32.35631452,38.48604562,0.957016435,,0.6,0.5,0.7
14/01/2013,4:15:00 p. m.,426.2,426.7,424.5,2.772,3.471,1.619,1518,454.9,1584,59.99,900.6,1181,0.76257409,617.6,691.1,0.893647808,1.801,1.862,1.85,14.43,22.53,29.79,22663.83,25.30,,8416.00,,0.093940817,0.211366839,0.305307656,5.774612058,32.44721445,38.22182651,0.958333333,,0.6,0.5,0.5
14/01/2013,4:20:00 p. m.,426.2,427,424.8,2.722,3.439,1.573,1483,450,1550,59.98,883.9,1160,0.761982759,600,671.8,0.893122953,1.8,1.858,1.858,14.51,22.72,30.85,22787.42,24.72,,8450.00,,0.046948357,0.234741784,0.281690141,5.585725369,33.39798293,38.9837083,0.956774194,,0.1,0.3,0.5
14/01/2013,4:25:00 p. m.,426.5,427.3,425.1,2.663,3.392,1.504,1435,447.1,1503,60,862.9,1136,0.75959507,572.3,642.2,0.891155403,1.791,1.83,1.859,14.84,23.19,32.47,22907,23.92,,8497.00,,0.046915318,0.234576589,0.281491907,5.688583146,34.62098161,40.30956476,0.954757152,,0.3,0.6,0.6
14/01/2013,4:30:00 p. m.,427,427.8,425.8,2.538,3.321,1.398,1345,430.6,1412,60.03,817.5,1084,0.754151292,526.8,597.1,0.882264277,1.757,1.804,1.829,15.18,23.47,34.85,23019.08,22.42,,8588.00,,0.031235358,0.218647509,0.249882867,4.919388177,37.28813559,42.20752377,0.952549575,,0.8,0.8,1
14/01/2013,4:35:00 p. m.,427.2,427.6,425.4,2.493,3.279,1.336,1303,433,1373,60.01,800.2,1065,0.751361502,502.7,570.5,0.88115688,1.761,1.822,1.831,15.62,23.82,36.99,23127.67,21.72,,8627.00,,0.109357913,0.203093267,0.31245118,5.219471019,38.39335959,43.61283061,0.949016752,,0.7,0.3,0.3
14/01/2013,4:40:00 p. m.,426.8,427,424.9,2.487,3.265,1.329,1294,429.3,1363,60.01,796.3,1061,0.750518379,496.9,566.6,0.876985528,1.808,1.865,1.899,16.15,24.26,38.74,23235.5,21.57,,8637.00,,0.132947525,0.179870181,0.312817705,5.366473662,38.32791979,43.69439345,0.949376376,,0.2,0.8,0.9
14/01/2013,4:45:00 p. m.,426.6,427.2,425,2.229,3.089,0.859,1013,454.8,1111,60.01,699.6,951.1,0.735569341,249.1,290.8,0.856602476,1.76,1.815,1.882,17.12,25.41,49.43,23319.92,16.88,,8889.00,,0.078198311,0.218955271,0.297153581,8.256435163,50.02428363,58.2807188,0.911791179,,0.6,0.4,0.4
14/01/2013,4:50:00 p. m.,427.2,427.5,425.3,2.114,3.017,0.591,871.4,481.3,995.5,60.03,658.9,903.4,0.729355767,147,174.7,0.841442473,1.751,1.816,1.882,17.99,26.04,56.08,23392.53,14.52,,9004.50,,0.125,0.1953125,0.3203125,10.83537225,58.17895841,69.01433065,0.875339026,,0.4,0.5,0.4
14/01/2013,4:55:00 p. m.,427.3,427.6,425.3,2.07,2.988,0.231,724.4,552.2,910.9,60,642.9,884.8,0.726604882,45.82,55.45,0.826330027,1.702,1.755,1.81,17.98,26.09,57.41,23452.9,12.07,,9089.10,,0.132791751,0.203093267,0.335885018,17.41349972,69.48383437,86.89733409,0.795257438,,0.7,0.4,0.3
14/01/2013,5:00:00 p. m.,427.6,428,425.9,1.921,2.898,0,587.6,574.4,821.7,60.01,587.6,821.7,0.715102836,0,0,#¡DIV/0!,1.691,1.727,1.794,19.13,26.81,69.54,23501.87,9.79,,9178.30,,0.101443621,0.195083886,0.296527507,19.58912637,80.41087363,100,0.715102836,,0.4,0.5,0.6
